,Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,proxy,protocol
0,GET,/handle,450,0,1002.8018330340274,1017.7596834234687,1002.8018330340274,1057.6733330381103,59.0,48.76580782057675,0.0,1000,1000,1000,1000,1000,1000,1100,1100,1100,1100,1100,mitmproxy,http
0,GET,/handle,450,0,1003.268875007052,1031.5219262783003,1003.268875007052,1114.393875002861,59.0,48.37567249882799,0.0,1000,1000,1000,1100,1100,1100,1100,1100,1100,1100,1100,mitmproxy,https
0,GET,/handle,450,0,1002.2048749960959,1026.2061932635131,1002.2048749960959,1186.19158299407,59.0,47.807515709632426,0.0,1000,1000,1000,1000,1000,1200,1200,1200,1200,1200,1200,node_http_proxy,http
0,GET,/handle,440,0,1014.3285840167664,1065.4506849418713,1014.3285840167664,1591.7951249866746,59.0,46.453085622979394,0.0,1000,1000,1100,1100,1200,1200,1600,1600,1600,1600,1600,node_http_proxy,https
0,GET,/handle,450,0,1000.9886669577099,1010.4860881184383,1000.9886669577099,1160.9835409908555,59.0,48.5094306904502,0.0,1000,1000,1000,1000,1000,1000,1000,1200,1200,1200,1200,gomitmproxy,http
0,GET,/handle,450,0,1001.0395419667475,1014.9215732345409,1001.0395419667475,1070.3840419882908,59.0,49.08706701416533,0.0,1000,1000,1000,1000,1000,1000,1100,1100,1100,1100,1100,gomitmproxy,https
0,GET,/handle,450,0,1000.692458008416,1007.2469630646002,1000.692458008416,1030.8694170089439,59.0,49.25263570442721,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,martian,http
0,GET,/handle,450,0,1001.0342079913244,1012.146959984675,1001.0342079913244,1049.129958031699,59.0,49.05866843843486,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,martian,https
0,GET,/handle,2717,2277,5,170.85386066000675,2.1114579867571592,1034.3491659732535,9.554655870445345,281.59665995864486,235.99396198963353,5,7,10,14,1000,1000,1000,1000,1000,1000,1000,goproxy,http
0,GET,/handle,450,0,1013.698291964829,1038.7015866657666,1013.698291964829,1341.8125419993885,59.0,46.10469122330748,0.0,1000,1000,1000,1000,1000,1100,1300,1300,1300,1300,1300,goproxy,https
